,V,i,si,sV
128,2.8,1.5591229223e-07,3.2438239027807865e-10,0.0128
129,2.9,1.5807404409999999e-07,3.2867350796423074e-10,0.0129
130,3.0,1.6002114046999998e-07,3.3253918531186887e-10,0.013000000000000001
131,3.1,1.619824506e-07,3.3643559247371017e-10,0.0131
132,3.2,1.6382056587e-07,3.4008936347963596e-10,0.0132
133,3.3,1.661988774e-07,3.4481625166885105e-10,0.0133
134,3.4,1.687873489e-07,3.499576933924412e-10,0.0134
135,3.5,1.6965897e-07,3.5169038455159404e-10,0.0135
136,3.6,1.7110606522e-07,3.5456701352024625e-10,0.013600000000000001
137,3.7,1.7273453324e-07,3.5780399670059044e-10,0.0137
138,3.8,1.7458995346e-07,3.614953432596501e-10,0.0138
139,3.9,1.7639092522e-07,3.650762431153413e-10,0.0139
140,4.0,1.7806370919e-07,3.684019955916985e-10,0.014
141,4.1,1.7959274515999998e-07,3.714433288716411e-10,0.0141
142,4.2,1.8127741474999999e-07,3.74796430860731e-10,0.0142
143,4.3,1.8207468286999999e-07,3.763835286731226e-10,0.0143
144,4.4,1.8367110248e-07,3.7955712026810834e-10,0.0144
145,4.5,1.8629264105000002e-07,3.8477342109734704e-10,0.0145
146,4.6,1.8786839173e-07,3.8790844461436313e-10,0.0146
147,4.7,1.8906102914000001e-07,3.902838973868828e-10,0.014700000000000001
148,4.8,1.9047437981e-07,3.9309583077131925e-10,0.0148
149,4.9,1.9203736265999998e-07,3.962065430567412e-10,0.0149
150,5.0,1.9316396164e-07,3.9844982013478554e-10,0.015
151,5.1,1.9436394435e-07,4.008376876115547e-10,0.015099999999999999
152,5.2,1.9600271508e-07,4.0410146946484523e-10,0.015200000000000002
153,5.3,1.9688293252e-07,4.0585456552779884e-10,0.015300000000000001
154,5.4,1.9812720807999998e-07,4.083326409802646e-10,0.0154
155,5.5,1.9904535003999999e-07,4.1015997079428253e-10,0.0155
156,5.6,2.0030033819999999e-07,4.126616451111861e-10,0.0156
157,5.7,2.0103593834e-07,4.1412680096437256e-10,0.0157
158,5.8,2.0203356398000002e-07,4.1611081283247524e-10,0.0158
159,5.9,2.0298229173e-07,4.180039484676255e-10,0.0159
160,6.0,2.0396495633e-07,4.1996304304530535e-10,0.016
161,6.1,2.0518808010000002e-07,4.2240059303781315e-10,0.0161
162,6.2,2.0595672575e-07,4.239303848122631e-10,0.0162
163,6.3,2.0677557291e-07,4.255626800547903e-10,0.016300000000000002
164,6.4,2.0779541369e-07,4.2759343361501337e-10,0.0164
165,6.5,2.0874968414e-07,4.29494548153623e-10,0.0165
166,6.6,2.0952267289e-07,4.310326637337314e-10,0.0166
167,6.7,2.0991431271999998e-07,4.3181472104502935e-10,0.0167
168,6.8,2.1096943132999998e-07,4.3391649035418996e-10,0.0168
169,6.9,2.1193113245e-07,4.3583075902035765e-10,0.016900000000000002
170,7.0,2.12259328e-07,4.3648799859752597e-10,0.017
171,7.1,2.1317400607000002e-07,4.38312164780069e-10,0.0171
172,7.2,2.1405805669e-07,4.4007251063829017e-10,0.0172
173,7.3,2.1489797669000002e-07,4.417473544348078e-10,0.0173
174,7.4,2.1548656325e-07,4.4292059680706086e-10,0.0174
175,7.5,2.164534388e-07,4.4484804790936383e-10,0.0175
176,7.6,2.1712084749e-07,4.4617785727583894e-10,0.0176
